Cod,Nome Pais,Capital,Região,Moeda,Coordenadas,Área,População
748.0,Eswatini,Mbabane,Africa,Swazi lilangeni,"[-26.5, 31.5]",17364.0,1160164
616.0,Poland,Warsaw,Europe,Polish złoty,"[52.0, 20.0]",312679.0,37950802
756.0,Switzerland,Bern,Europe,Swiss franc,"[47.0, 8.0]",41284.0,8654622
178.0,Republic of the Congo,Brazzaville,Africa,Central African CFA franc,"[-1.0, 15.0]",342000.0,5657000
862.0,Venezuela,Caracas,Americas,Venezuelan bolívar soberano,"[8.0, -66.0]",916445.0,28435943
591.0,Panama,Panama City,Americas,Panamanian balboa,"[9.0, -80.0]",75417.0,4314768
528.0,Netherlands,Amsterdam,Europe,Euro,"[52.5, 5.75]",41850.0,16655799
882.0,Samoa,Apia,Oceania,Samoan tālā,"[-13.58333333, -172.33333333]",2842.0,198410
208.0,Denmark,Copenhagen,Europe,Danish krone,"[56.0, 10.0]",43094.0,5831404
442.0,Luxembourg,Luxembourg,Europe,Euro,"[49.75, 6.16666666]",2586.0,632275
234.0,Faroe Islands,Tórshavn,Europe,Danish krone,"[62.0, -7.0]",1393.0,48865
705.0,Slovenia,Ljubljana,Europe,Euro,"[46.11666666, 14.81666666]",20273.0,2100126
768.0,Togo,Lomé,Africa,West African CFA franc,"[8.0, 1.16666666]",56785.0,8278737
764.0,Thailand,Bangkok,Asia,Thai baht,"[15.0, 100.0]",513120.0,69799978
876.0,Wallis and Futuna,Mata-Utu,Oceania,CFP franc,"[-13.3, -176.2]",142.0,11750
44.0,Bahamas,Nassau,Americas,Bahamian dollar,"[25.0343, -77.3963]",13943.0,393248
776.0,Tonga,Nuku'alofa,Oceania,Tongan paʻanga,"[-20.0, -175.0]",747.0,105697
300.0,Greece,Athens,Europe,Euro,"[39.0, 22.0]",131990.0,10715549
674.0,San Marino,City of San Marino,Europe,Euro,"[43.76666666, 12.41666666]",61.0,33938
638.0,Réunion,Saint-Denis,Africa,Euro,"[-21.15, 55.5]",2511.0,840974
336.0,Vatican City,Vatican City,Europe,Euro,"[41.9, 12.45]",0.44,451
108.0,Burundi,Gitega,Africa,Burundian franc,"[-3.5, 30.0]",27834.0,11890781
48.0,Bahrain,Manama,Asia,Bahraini dinar,"[26.0, 50.55]",765.0,1701583
584.0,Marshall Islands,Majuro,Oceania,United States dollar,"[9.0, 168.0]",181.0,59194
796.0,Turks and Caicos Islands,Cockburn Town,Americas,United States dollar,"[21.75, -71.58333333]",948.0,38718
833.0,Isle of Man,Douglas,Europe,British pound,"[54.25, -4.5]",572.0,85032
332.0,Haiti,Port-au-Prince,Americas,Haitian gourde,"[19.0, -72.41666666]",27750.0,11402533
4.0,Afghanistan,Kabul,Asia,Afghan afghani,"[33.0, 65.0]",652230.0,40218234
376.0,Israel,Jerusalem,Asia,Israeli new shekel,"[31.47, 35.13]",20770.0,9216900
434.0,Libya,Tripoli,Africa,Libyan dinar,"[25.0, 17.0]",1759540.0,6871287
858.0,Uruguay,Montevideo,Americas,Uruguayan peso,"[-33.0, -56.0]",181034.0,3473727
574.0,Norfolk Island,Kingston,Oceania,Australian dollar,"[-29.03333333, 167.95]",36.0,2302
558.0,Nicaragua,Managua,Americas,Nicaraguan córdoba,"[13.0, -85.0]",130373.0,6624554
184.0,Cook Islands,Avarua,Oceania,Cook Islands dollar,"[-21.23333333, -159.76666666]",236.0,18100
418.0,Laos,Vientiane,Asia,Lao kip,"[18.0, 105.0]",236800.0,7275556
162.0,Christmas Island,Flying Fish Cove,Oceania,Australian dollar,"[-10.5, 105.66666666]",135.0,2072
654.0,"Saint Helena, Ascension and Tristan da Cunha",Jamestown,Africa,Pound sterling,"[-15.95, -5.72]",394.0,53192
660.0,Anguilla,The Valley,Americas,Eastern Caribbean dollar,"[18.25, -63.16666666]",91.0,13452
583.0,Micronesia,Palikir,Oceania,United States dollar,"[6.91666666, 158.25]",702.0,115021
276.0,Germany,Berlin,Europe,Euro,"[51.0, 9.0]",357114.0,83240525
316.0,Guam,Hagåtña,Oceania,United States dollar,"[13.46666666, 144.78333333]",549.0,168783
296.0,Kiribati,South Tarawa,Oceania,Australian dollar,"[1.41666666, 173.0]",811.0,119446
534.0,Sint Maarten,Philipsburg,Americas,Netherlands Antillean guilder,"[18.033333, -63.05]",34.0,40812
